background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
11481,-0.030272075040550902,14,103,mse_output,narrow,0.001219405975089278,0.05460026126283479,3346019477.975049,0.00224252033864758,0.3814814814814815,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.04239975208941311,0.015284627835293121,0.001,10.0,120,input_specific_validation_background
3577,-0.030272075040550902,7,39,mse_output,narrow,0.0019569471624266144,0.05460026126283479,3346019477.975049,0.00224252033864758,0.3333333333333333,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.04239975208941311,0.015284627835293121,0.001,10.0,40,input_specific_validation_background
11481,-0.030272075040550902,123,126,mse_output,narrow,0.010713352495427228,0.05460026126283479,3346019477.975049,0.00224252033864758,0.4666666666666667,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.04239975208941311,0.015284627835293121,0.01,10.0,120,input_specific_validation_background
3577,-0.030272075040550902,41,52,mse_output,narrow,0.011462119094213028,0.05460026126283479,3346019477.975049,0.00224252033864758,0.4444444444444444,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.04239975208941311,0.015284627835293121,0.01,10.0,40,input_specific_validation_background
11481,-0.030272075040550902,14,103,mse_output,narrow,0.001219405975089278,0.05460026126283479,3346019477.975049,0.00224252033864758,0.3814814814814815,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.04239975208941311,0.015284627835293121,0.001,10.0,120,input_specific_validation_background
3577,-0.030272075040550902,7,39,mse_output,narrow,0.0019569471624266144,0.05460026126283479,3346019477.975049,0.00224252033864758,0.3333333333333333,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.04239975208941311,0.015284627835293121,0.001,10.0,40,input_specific_validation_background
10839,-0.03119927564722879,115,161,mse_output,default,0.010609834855613986,0.05460026126283479,3346019477.975049,0.004203837510281971,0.5962962962962963,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.04284322333839189,0.016377261017819673,0.01,10.0,120,input_specific_validation_background
3326,-0.03119927564722879,36,56,mse_output,default,0.010823812387251955,0.05460026126283479,3346019477.975049,0.004203837510281971,0.47863247863247865,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.04284322333839189,0.016377261017819673,0.01,10.0,40,input_specific_validation_background
10839,-0.03119927564722879,14,132,mse_output,default,0.001291632069379094,0.05460026126283479,3346019477.975049,0.004203837510281971,0.4888888888888889,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.04284322333839189,0.016377261017819673,0.001,10.0,120,input_specific_validation_background
3326,-0.03119927564722879,7,42,mse_output,default,0.0021046301864101023,0.05460026126283479,3346019477.975049,0.004203837510281971,0.358974358974359,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.04284322333839189,0.016377261017819673,0.001,10.0,40,input_specific_validation_background
